"","id","datetime","user","text","date","hour"
"3509","360142110957125632",2013-07-24 16:59:00,"DrBonnie360","#Fecal transplants saving 14,000 lives a year http://bit.ly/14X8qaA  #microbiome, #metagenomics",2013-07-24,16
"3510","360142763934756864",2013-07-24 17:01:00,"ellenmmartin","RT @DrBonnie360: #Fecal transplants saving 14,000 lives a year - no thanks to FDA http://bit.ly/14X8qaA  #microbiome, #metagenomics",2013-07-24,17
"3511","360143927615037440",2013-07-24 17:06:00,"volatilebug","RT @DrBonnie360: #Fecal transplants saving 14,000 lives a year http://bit.ly/14X8qaA  #microbiome, #metagenomics",2013-07-24,17
"3512","360151414485422080",2013-07-24 17:36:00,"metagenomics","#microecology Newly discovered marine viruses offer glimpse into untapped biodiversity - Science Codex http://ow.ly/2yC5Fv",2013-07-24,17
"3513","360151414674178048",2013-07-24 17:36:00,"metagenomics","#microbiome Can Humans Explore Mars To Standards Of Sterilized Rovers? - Science 2.0 (blog) http://ow.ly/2yC5Ft",2013-07-24,17
"3514","360151414925819904",2013-07-24 17:36:00,"metagenomics","#microecology Sick Sea Fans: Undersea Doctors to the Rescue - National Science Foundation (press release) http://ow.ly/2yC5Fu",2013-07-24,17
"3515","360197285411438592",2013-07-24 20:38:00,"metagenomics","#microecology Aquaponics: Another way to bypass Dallas area's difficult growing conditions - Dallas Morning News http://ow.ly/2yCmFu",2013-07-24,20
"3516","360197286636167168",2013-07-24 20:38:00,"metagenomics","#IBD Explainer: what is inflammatory bowel disease? - ScienceAlert http://ow.ly/2yCmFh",2013-07-24,20
"3517","360226073709002752",2013-07-24 22:32:00,"metagenomics","#microbiome Can Human Explorers Keep Mars Clean For Science? - Science 2.0 (blog) http://ow.ly/2yCrqZ",2013-07-24,22
"3518","360240277153263616",2013-07-24 23:29:00,"metagenomics","#microecology Newly Discovered Marine Viruses Offer Glimpse Into Untapped Biodiversity - Science Daily (press rele... http://ow.ly/2yCvrB",2013-07-24,23
"3519","360250289573466112",2013-07-25 00:08:00,"jasonology","Words Scientists Like: Metagenomics",2013-07-25,0
"3520","360252874128764928",2013-07-25 00:19:00,"ScorpioCMI","Critical Materials Investment is out! http://paper.li/ScorpioCMI/1356664525 ▸ Top stories today via @metagenomics",2013-07-25,0
"3521","360294069446000640",2013-07-25 03:02:00,"FEMSTweets","#Soil metagenomics #FEMS2013 Read review on micro-scale determinants of bacterial diversity in soil http://bit.ly/1dH8eB8",2013-07-25,3
"3522","360294430139363328",2013-07-25 03:04:00,"BodenLab","RT @FEMSTweets: #Soil metagenomics #FEMS2013 Read review on micro-scale determinants of bacterial diversity in soil http://bit.ly/1dH8eB8",2013-07-25,3
"3523","360294464897556480",2013-07-25 03:04:00,"ecoharmony","RT @FEMSTweets: #Soil metagenomics #FEMS2013 Read review on micro-scale determinants of bacterial diversity in soil http://bit.ly/1dH8eB8",2013-07-25,3
"3524","360312030483329024",2013-07-25 04:14:00,"ScienceZest","RT @FEMSTweets: #Soil metagenomics #FEMS2013 Read review on micro-scale determinants of bacterial diversity in soil http://bit.ly/1dH8eB8",2013-07-25,4
"3525","360312642990129152",2013-07-25 04:16:00,"paularubim","4am e eu assisto Soil metagenomics: quitina pode estimular bacterias e aumentar sanidade do solo p agricultura. #Agroecologia",2013-07-25,4
"3526","360315239364964352",2013-07-25 04:27:00,"ALEPDAVO","Nice story on novel enzyme discovered using #metagenomics in soils by I. Mandic-Mulec. She looks a lot like @SusanSarandon haha #FEMS #fb",2013-07-25,4
"3527","360336551458250752",2013-07-25 05:51:00,"EileenMuhs","Inspiring talk about metagenomics in permafrost and arctic! #FEMS2013",2013-07-25,5
"3528","360339597638631424",2013-07-25 06:03:00,"ScienceZest","RT @EileenMuhs: Inspiring talk about metagenomics in permafrost and arctic! #FEMS2013",2013-07-25,6
"3529","360342182462357504",2013-07-25 06:14:00,"microbiology","RT @EileenMuhs: Inspiring talk about metagenomics in permafrost and arctic! #FEMS2013",2013-07-25,6
"3530","360347232781877248",2013-07-25 06:34:00,"metagenomics","#IBD Hypnosis a winner in IBD - Gastroenterology Update - Hypnosis a winner in IBDGastroenterology UpdateHypnother... http://ow.ly/2yCWsQ",2013-07-25,6
"3531","360355227620225024",2013-07-25 07:05:00,"oliveirajorge88","Is anyone able to load FAST protein alignments into MEGAN? #metagenomics @pathogenomenick @Scalene",2013-07-25,7
